id,created_at_utc,tweet_text,tweet_url,geo_coordinates,fav_count_or_likes,retweet_count,author_location,author_geo_coordinates,author_followers_count,author_screen_name,author_fav_count,geo,retweeted,source url,source
1070474659580264454,2018-12-06 00:27:01,@AndrewWHAM @ccleare @KelsieSmithWHAM Now that you’re in #ROC you can do #Wegmans that you couldn’t in @AlbanyNYBuzz,www.twitter.com/noFelld/status/1070474659580264454,,0,0,terre de nos aieux,,505,noFelld,2937,,False,https://mobile.twitter.com,Twitter Lite
1070446481356795907,2018-12-05 22:35:03,"It’s going to be a cool holiday season! @NubianHeritage’s Peppermint Bath Bombs and Bar Soap are perfect for this time of year, and may we add that they smell amazing! Available at @Wegmans! #nubianheritage #wegmans #peppermint #bathbombs #barsoap #holiday https://t.co/FgAiuiHStb",www.twitter.com/dnapublicity/status/1070446481356795907,,1,0,NY.AR.,"{'lng': -73.9835885, 'lat': 40.7631405}",935,dnapublicity,4,,False,http://twitter.com/download/iphone,Twitter for iPhone
1070369508202823682,2018-12-05 17:29:11,@DiningTraveler @FunInFairfax @CharlesMcCool @always5star @RoarLoudTravel @RickGriffin @SashaEats @pip_says @FoodTravelist @TravelAtWill @monstervoyage @miliman12photos @DanaHFreeman @travthroughlife @Touchse @TheHusbandInTow @Nicolette_O @suziday123 @BarnetteJason @Wegmans Ohhh! I agree! #Wegmans has a fantastic bakery!! 😀,www.twitter.com/MyVirtualVaca/status/1070369508202823682,,3,0,"Maryland, USA","{'lng': -76.64127119999999, 'lat': 39.0457549}",19424,MyVirtualVaca,86318,,False,http://twitter.com/download/iphone,Twitter for iPhone
1070359008484188161,2018-12-05 16:47:28,"@jennybent If you have a Wegman’s near you, try their Wonder Water...fruit flavored varieties including blueberry and watermelon.  No calories, no sugar!  #Wegmans",www.twitter.com/tpscarfo/status/1070359008484188161,,0,0,"Clarks Summit, PA ","{'lng': -75.70852479999999, 'lat': 41.4886892}",27,tpscarfo,1096,,False,http://twitter.com/download/iphone,Twitter for iPhone
1070330886690885632,2018-12-05 14:55:43,"Our team is on the road visiting @wegmans stores in the mid Atlantic to talk about our #greenrated #bluehouse salmon

#blueisthenewgreen 

#virginia #maryland #fish #salmon #ketodiet #pescatarian #keto #seafood #denmark #sustainable #wegmans #foodie #aquaculture #antibioticfree https://t.co/Y9ZFM7hNon",www.twitter.com/atlsapphire/status/1070330886690885632,,3,0,"Miami, FL","{'lng': -80.1917902, 'lat': 25.7616798}",4621,atlsapphire,62106,,False,http://twitter.com/download/android,Twitter for Android
1070321723491446785,2018-12-05 14:19:19,#Byers Choice #Carolers #Wegmans Chef with Basket of Vegetables Menu Pasta https://t.co/LMDYpzCbpt ⁦@eBay⁩ #onedayleft,www.twitter.com/msfc59/status/1070321723491446785,,0,0,"Williamsville, NY","{'lng': -78.73780909999999, 'lat': 42.963947}",2460,msfc59,17638,,False,http://twitter.com/download/iphone,Twitter for iPhone
1070171314940510209,2018-12-05 04:21:38,"RT @coupns4urfamily: Free Groceries this week 12/2-12/8:  FREE Hodgson Mill Yeast, Annie's Mac &amp; Cheese &amp; more -https://t.co/3OKiz58a9s
#Fr…",www.twitter.com/DealsInTheCuse/status/1070171314940510209,,0,1,"Bridgeport, NY","{'lng': -75.9693622, 'lat': 43.1553457}",1310,DealsInTheCuse,7403,,False,http://twitter.com/download/android,Twitter for Android
1070171216135151616,2018-12-05 04:21:15,"Free Groceries this week 12/2-12/8:  FREE Hodgson Mill Yeast, Annie's Mac &amp; Cheese &amp; more -https://t.co/3OKiz58a9s
#FreeGroceries #GroceryDeals
#wegmans #bilo #freebies #grocerystores https://t.co/Zuq3nymjyx",www.twitter.com/coupns4urfamily/status/1070171216135151616,,0,1,"Buffalo, New York","{'lng': -78.8783689, 'lat': 42.88644679999999}",6992,coupns4urfamily,616,,False,http://www.couponsforyourfamily.com/,CouponsForYourFamily Nextscripts
1070117031826067456,2018-12-05 00:45:56,Proof that #acme is not worth it. My interest is piqued in #wegmans however https://t.co/hjL1VcB5PW,www.twitter.com/leninld/status/1070117031826067456,,1,0,Philadelphia,"{'lng': -75.1652215, 'lat': 39.9525839}",344,leninld,3279,,False,http://twitter.com/download/iphone,Twitter for iPhone
1070116194995310593,2018-12-05 00:42:37,Every year Mike and I get a new ornament for our tree. 🎄 I’m quite fond of this year’s ornament. 🍻 #CraftBeer #Wegmans https://t.co/0PfzVG36mn,www.twitter.com/AuthorMoMayer/status/1070116194995310593,,0,0,"Columbia, MD","{'lng': -76.86104619999999, 'lat': 39.2037144}",3298,AuthorMoMayer,7239,,False,http://instagram.com,Instagram
1070094261268463616,2018-12-04 23:15:27,"* Wegmans Fined * With its first #HudsonValley market set to open, #Wegmans was fined nearly a million dollars for operating liquor stores without proper licensing. #DailyVoice. https://t.co/SEh71KcW3j",www.twitter.com/DVWestchester_N/status/1070094261268463616,,0,0,"Northern Westchester, NY","{'lng': -73.7677323, 'lat': 41.2773227}",1758,DVWestchester_N,1,,False,http://www.dailyvoice.com,SPTK: DVWestchester_N
1070094260073058305,2018-12-04 23:15:27,"* Wegmans Fined * With its first #HudsonValley market set to open, #Wegmans was fined nearly a million dollars for operating liquor stores without proper licensing. #DailyVoice. https://t.co/18FtCEDZ34",www.twitter.com/PutnamDV/status/1070094260073058305,,0,0,"Putnam County, NY","{'lng': -73.7948516, 'lat': 41.4351069}",1293,PutnamDV,11,,False,http://www.dailyvoice.com,SPTK: PutnamDV
